That's without even getting into the massive amounts of land used for soy and hay production for livestock.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	5
That's without even getting into the massive amounts of land used for soy and hay production for livestock.	Why, it's almost like you only read the top two paragraphs.	0	4
That's without even getting into the massive amounts of land used for soy and hay production for livestock.	The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	0	3
It's written by an Australian (where most livestock is grass-fed)	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	22
It's written by an Australian (where most livestock is grass-fed)	I read it a month or so ago I'm actually referring to corn.	0	4
explicitly notes that it only applies when livestock is fed on grass rather than grain	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	23
explicitly notes that it only applies when livestock is fed on grass rather than grain	I read it a month or so ago I'm actually referring to corn.	0	5
The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	24
The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	I read it a month or so ago I'm actually referring to corn.	1	6
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	That may be what YOU consider, but that's not what others consider	0	37
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	they can validly reach different conclusions.	0	38
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	And "suffer" needs more definition to discuss whether it's something animals can do.	0	39
